Trial,ESN,Name,Lat,Lng,Timestamp,Datetime,Order ,ID ,,,,
1,331254,UNHCMB,43.079849,-70.859349,1342284900,7/14/12 12:55,4,LB21,,,,
1,331254,UNHCMB,43.079817,-70.859435,1342283100,7/14/12 12:25,5,LB21,,,,,0.007833869957369215
1,331254,UNHCMB,43.07986,-70.859306,1342281360,7/14/12 11:56,6,LB21,,,,,0.011509243983117274
1,331254,UNHCMB,43.079849,-70.859306,1342279560,7/14/12 11:26,7,LB21,,,,,0.0012223762473975164
1,331254,UNHCMB,43.079807,-70.859263,1342278060,7/14/12 11:01,8,LB21,,,,,0.005827894835387548
1,331254,UNHCMB,43.07986,-70.859263,1342275960,7/14/12 10:26,9,LB21,,,,,0.00588963101340112
1,331254,UNHCMB,43.07927,-70.860357,1342274100,7/14/12 9:55,10,LB21,,,,,0.11037825476798452
1,331254,UNHCMB,43.078755,-70.862074,1342272300,7/14/12 9:25,11,LB21,,,,,0.15065703667183936
1,331254,UNHCMB,43.079796,-70.859349,1342270560,7/14/12 8:56,12,LB21,,,,,0.2496048165028952
1,331254,UNHCMB,43.079796,-70.85937,1342268700,7/14/12 8:25,13,LB21,,,,,0.0017044888422473627
1,331254,UNHCMB,43.079839,-70.859349,1342266960,7/14/12 7:56,14,LB21,,,,,0.005073282413236898
1,331254,UNHCMB,43.079849,-70.859349,1342265160,7/14/12 7:26,15,LB21,,,,,0.0011112511356042853
1,331254,UNHCMB,43.079839,-70.859327,1342263300,7/14/12 6:55,16,LB21,,,,,0.0021031970394775473
1,331254,UNHCMB,43.079849,-70.859349,1342261500,7/14/12 6:25,17,LB21,,,,,0.0021031970394775473
1,331254,UNHCMB,43.079807,-70.859392,1342259700,7/14/12 5:55,18,LB21,,,,,0.005827894834769148
1,331254,UNHCMB,43.079849,-70.859349,1342257900,7/14/12 5:25,19,LB21,,,,,0.005827894834769148
1,331254,UNHCMB,43.07986,-70.859327,1342256100,7/14/12 4:55,20,LB21,,,,,0.0021639688763560863
1,331254,UNHCMB,43.07986,-70.859327,1342254360,7/14/12 4:26,21,LB21,,,,,0.0
1,331254,UNHCMB,43.079828,-70.859349,1342252500,7/14/12 3:55,22,LB21,,,,,0.003979160781487158
1,331254,UNHCMB,43.079849,-70.859306,1342251060,7/14/12 3:31,23,LB21,,,,,0.004198440630873778
1,331254,UNHCMB,43.079839,-70.859327,1342248960,7/14/12 2:56,24,LB21,,,,,0.0020347375114876326
1,331254,UNHCMB,43.079839,-70.859306,1342247100,7/14/12 2:25,25,LB21,,,,,0.001704487643969048
1,331254,UNHCMB,43.079849,-70.859306,1342245360,7/14/12 1:56,26,LB21,,,,,0.0011112511356042853
1,331254,UNHCMB,43.079849,-70.859392,1342243500,7/14/12 1:25,27,LB21,,,,,0.006980281598110463
1,331254,UNHCMB,43.079882,-70.859327,1342241700,7/14/12 0:55,28,LB21,,,,,0.0064250932298980995
1,331254,UNHCMB,43.077779,-70.858512,1342239900,7/14/12 0:25,29,LB21,,,,,0.24287833763766284
1,331254,UNHCMB,43.079871,-70.859306,1342238100,7/13/12 23:55,30,LB21,,,,,0.2412414676513896
1,331254,UNHCMB,43.079796,-70.859284,1342236300,7/13/12 23:25,31,LB21,,,,,0.008523526752117398
1,331254,UNHCMB,43.079796,-70.859306,1342234560,7/13/12 22:56,32,LB21,,,,,0.0017856549778875073
1,331254,UNHCMB,43.079817,-70.859349,1342232760,7/13/12 22:26,33,LB21,,,,,0.00419844214576584
1,331254,UNHCMB,43.079807,-70.85937,1342231260,7/13/12 22:01,34,LB21,,,,,0.0020347382581652608
