River,River3,,LLB,LB2,,ULB,LB51
43.090793,-70.762703,,43.116682,-70.834072,,43.110083,-70.858963
43.104236,-70.787165,,43.116134,-70.834758,,43.117368,-70.829587
43.118398,-70.810812,,43.118763,-70.839694,,43.115823,-70.809095
43.11857,-70.840466,,43.120319,-70.845144,,43.1252,-70.862696
43.12784,-70.85407,,43.121606,-70.84935,,43.109729,-70.85804
43.125876,-70.861988,,43.123559,-70.859263,,43.090653,-70.861387
43.121735,-70.86673,,43.117647,-70.861774,,43.071631,-70.87718
43.117572,-70.864413,,43.107079,-70.856881,,43.072951,-70.885634
43.112036,-70.856924,,43.091576,-70.860722,,43.075129,-70.881493
43.107176,-70.856602,,43.084238,-70.863683,,43.07809,-70.876687
43.107251,-70.857117,,43.078498,-70.870421,,43.078455,-70.871751
43.111199,-70.85922,,43.075547,-70.873253,,43.091887,-70.862203
43.119128,-70.862439,,43.076094,-70.873361,,43.112605,-70.856237
43.126327,-70.855701,,43.079335,-70.870893,,43.11886,-70.858126
43.12152,-70.841882,,43.082607,-70.86776,,43.117862,-70.854993
43.119568,-70.820704,,43.091844,-70.860658,,43.117937,-70.854092
43.106543,-70.794783,,43.092542,-70.860078,,43.11857,-70.856366
43.097005,-70.781243,,43.091812,-70.859284,,43.119643,-70.859113
43.08148,-70.757854,,43.091812,-70.859263,,43.119224,-70.858405
43.076845,-70.746138,,43.091812,-70.859242,,43.111221,-70.857718
43.076824,-70.746567,,43.091844,-70.859263,,43.109171,-70.855958
43.076878,-70.746632,,43.091866,-70.859263,,43.119063,-70.860229
43.076878,-70.747383,,43.091844,-70.859242,,43.122647,-70.847805
43.077993,-70.748777,,43.091791,-70.859242,,43.118323,-70.810275
43.078669,-70.752532,,43.091877,-70.859156,,43.096329,-70.782659
43.086855,-70.761266,,43.091801,-70.859263,,43.097091,-70.782616
43.102627,-70.785749,,43.091812,-70.859284,,43.101865,-70.785277
43.117239,-70.809438,,43.091565,-70.859606,,43.120404,-70.813429
43.118398,-70.838599,,43.071771,-70.869327,,43.133311,-70.832119
43.12638,-70.850594,,43.063402,-70.863962,,43.144169,-70.834308
43.126177,-70.859692,,43.062286,-70.861323,,43.146003,-70.834501
43.120962,-70.86585,,43.062426,-70.859714,,43.143471,-70.834243
43.115619,-70.858512,,43.06366,-70.860765,,43.143718,-70.834372
43.109375,-70.856473,,43.065494,-70.863898,,43.143718,-70.834372
43.105706,-70.856409,,43.070301,-70.868704,,43.143729,-70.834394
43.107487,-70.85789,,43.079485,-70.870163,,43.143729,-70.834415
43.112798,-70.85952,,43.086662,-70.86349,,43.14374,-70.834436
43.119793,-70.863554,,43.097681,-70.858834,,43.143761,-70.834436
43.124782,-70.856388,,43.105856,-70.857031,,43.143729,-70.834544
43.123634,-70.851173,,43.112454,-70.8551,,43.143708,-70.834436
43.118398,-70.843191,,43.112873,-70.854757,,43.143708,-70.834394
43.117089,-70.835381,,43.110899,-70.854993,,43.14374,-70.834372
43.116789,-70.823128,,43.109686,-70.855207,,43.143793,-70.834415
,,,,,,43.142924,-70.834351
,,,,,,43.14183,-70.8339
,,,,,,43.141809,-70.833879
,,,,,,43.141787,-70.833879
,,,,,,43.141809,-70.833814
,,,,,,43.141809,-70.833814
,,,,,,43.141841,-70.833879
,,,,,,43.141776,-70.833814
,,,,,,43.141766,-70.833814
,,,,,,43.141809,-70.8339
,,,,,,43.14183,-70.833921
,,,,,,43.142141,-70.833857
,,,,,,43.142012,-70.833964
,,,,,,43.136455,-70.831454
,,,,,,43.125329,-70.829222
,,,,,,43.120512,-70.816326
,,,,,,43.084849,-70.758262
,,,,,,43.07265,-70.712471
,,,,,,43.072865,-70.713437
,,,,,,43.073037,-70.714102
,,,,,,43.074195,-70.717213
,,,,,,43.07942,-70.747726
,,,,,,43.106028,-70.790191
,,,,,,43.11902,-70.842333
,,,,,,43.119922,-70.862439
,,,,,,43.104182,-70.857503
,,,,,,43.097498,-70.859392
,,,,,,43.106543,-70.856559
,,,,,,43.118473,-70.857911
,,,,,,43.121789,-70.859671
,,,,,,43.122615,-70.85804
,,,,,,43.121349,-70.859113
,,,,,,43.121274,-70.859199
,,,,,,43.12004,-70.859993
,,,,,,43.1196,-70.85849
,,,,,,43.119911,-70.858276
,,,,,,43.120265,-70.858834
,,,,,,43.121563,-70.860336
,,,,,,43.123333,-70.854735
